Case,Year,Month,Site,Lat,Long,Protected,Color,Count,Count.Duration,Count.Per.10million,School
68,2010,Aug,Davenport Landing,37.0248,-122.2156,n,Orange,14,5,0.6,UCSC
69,2010,Aug,Pillar Point,37.503,-122.4823,y,Orange,7,65,1.9,UCSC
70,2010,Aug,Pillar Point,37.503,-122.4823,y,Purple,49,65,1.1,UCSC
71,2010,Sep,Davenport Landing,37.0248,-122.2156,n,Purple,21,5,2.1,Farallones Marine Sanctuary Association
72,2010,Sep,Davenport Landing,37.0248,-122.2156,n,Orange,6,5,0.8,Farallones Marine Sanctuary Association
73,2010,Oct,Davenport Landing,37.0248,-122.2156,n,Purple,19,10,1.3,UCSC
74,2010,Oct,Davenport Landing,37.0248,-122.2156,n,Orange,11,10,4.98,UCSC
75,2010,Oct,Davenport Landing,37.0248,-122.2156,n,Purple,21,15,2.3,UCSC
76,2010,Oct,Davenport Landing,37.0248,-122.2156,n,Orange,8,15,0.9,UCSC
77,2010,Nov,Pillar Point,37.503,-122.4823,y,Orange,17,60,1.07,UCSC
78,2010,Nov,Pillar Point,37.503,-122.4823,y,Purple,65,60,1.07,UCSC
79,2010,Dec,Davenport Landing,37.0248,-122.2156,n,Purple,23,15,4.37,The Urban School
80,2010,Dec,Davenport Landing,37.0248,-122.2156,n,Orange,9,15,3.52,The Urban School
81,2010,Dec,Pillar Point,37.503,-122.4823,y,Orange,14,30,1.53,UCSC
82,2010,Dec,Pillar Point,37.503,-122.4823,y,Purple,14,30,3.91,UCSC
83,2010,Dec,Pillar Point,37.503,-122.4823,y,Orange,57,30,1.3,California Academy of Sciences
84,2010,Dec,Pillar Point,37.503,-122.4823,y,Purple,46,30,5.21,California Academy of Sciences
85,2011,Jan,Pillar Point,37.503,-122.4823,y,Orange,20,50,0.18,California Academy of Sciences
86,2011,Jan,Pillar Point,37.503,-122.4823,y,Purple,51,50,0.42,California Academy of Sciences
87,2011,Jan,Pillar Point,37.503,-122.4823,y,Orange,17,30,0.18,Romberg Tiburon Center
88,2011,Jan,Pillar Point,37.503,-122.4823,y,Purple,68,30,1.32,Romberg Tiburon Center
89,2011,Feb,Pigeon Point,37.1829,-122.3928,n,Orange,3,15,0.36,Lick Wilmerding HS
90,2011,Feb,Pigeon Point,37.1829,-122.3928,n,Purple,7,15,0.9,Lick Wilmerding HS
91,2011,May,Pigeon Point,37.1829,-122.3928,n,Orange,3,30,0.69,American High School
92,2011,May,Pigeon Point,37.1829,-122.3928,n,Purple,22,30,1.92,American High School
93,2011,May,Pigeon Point,37.1829,-122.3928,n,Orange,6,30,0.23,International School of the Peninsula
94,2011,May,Pigeon Point,37.1829,-122.3928,n,Purple,15,30,1.23,International School of the Peninsula
95,2011,May,Pillar Point,37.503,-122.4823,y,Orange,9,20,0.3,James Logan High School
96,2011,May,Pillar Point,37.503,-122.4823,y,Purple,25,20,1.75,James Logan High School
97,2011,Jun,Pillar Point,37.503,-122.4823,y,Orange,3,15,0.24,Farallones Marine Sanctuary Association
98,2011,Jun,Pillar Point,37.503,-122.4823,y,Purple,16,15,0.2,Farallones Marine Sanctuary Association
99,2011,Jun,Pigeon Point,37.1829,-122.3928,n,Orange,5,55,0.33,The Urban School
100,2011,Jun,Pigeon Point,37.1829,-122.3928,n,Purple,29,55,0.83,The Urban School
