,Case,Date,Site,Lat,Long,Protected,Color,Count,Count.Duration,Count.Per.10million,School
89,89,2/28/2011,Pigeon Point,37.1829,122.3928,n,Orange,3,15,0.36,Lick Wilmerding HS
90,90,2/28/2011,Pigeon Point,37.1829,122.3928,n,Purple,7,15,0.9,Lick Wilmerding HS
91,91,5/11/2011,Pigeon Point,37.1829,122.3928,n,Orange,3,30,0.69,American High School
92,92,5/11/2011,Pigeon Point,37.1829,122.3928,n,Purple,22,30,1.92,American High School
93,93,5/21/2011,Pigeon Point,37.1829,122.3928,n,Orange,6,30,0.23,International School of the Peninsula
94,94,5/21/2011,Pigeon Point,37.1829,122.3928,n,Purple,15,30,1.23,International School of the Peninsula
95,95,5/23/2011,Pillar Point,37.503,122.4823,y,Orange,9,20,0.3,James Logan High School
96,96,5/23/2011,Pillar Point,37.503,122.4823,y,Purple,25,20,1.75,James Logan High School
97,97,6/8/2011,Pillar Point,37.503,122.4823,y,Orange,3,15,0.24,Farallones Marine Sanctuary Association
98,98,6/8/2011,Pillar Point,37.503,122.4823,y,Purple,16,15,0.2,Farallones Marine Sanctuary Association
99,99,6/20/2011,Pigeon Point,37.1829,122.3928,n,Orange,5,55,0.33,The Urban School
100,100,6/20/2011,Pigeon Point,37.1829,122.3928,n,Purple,29,55,0.83,The Urban School
101,101,8/3/2011,Natural Bridges,36.9502,122.0576,y,Orange,13,14,0.87,Farallones Marine Sanctuary Association
102,102,8/3/2011,Natural Bridges,36.9502,122.0576,y,Orange,11,20,0.52,Farallones Marine Sanctuary Association
103,103,8/3/2011,Natural Bridges,36.9502,122.0576,y,Orange,18,15,0.61,FMSA LiMPETS Teacher Workshop
104,104,8/3/2011,Natural Bridges,36.9502,122.0576,y,Purple,45,14,2.91,FMSA LiMPETS Teacher Workshop
105,105,8/3/2011,Natural Bridges,36.9502,122.0576,y,Purple,47,20,0.56,FMSA LiMPETS Teacher Workshop
106,106,8/3/2011,Natural Bridges,36.9502,122.0576,y,Purple,28,15,0.5,FMSA LiMPETS Teacher Workshop
107,107,8/30/2011,Pillar Point,37.503,122.4823,y,Orange,8,40,1.11,FMSA LiMPETS Teacher Workshop
108,108,8/30/2011,Pillar Point,37.503,122.4823,y,Purple,38,40,0.8,FMSA LiMPETS Teacher Workshop
109,109,10/26/2011,Natural Bridges,36.9502,122.0576,y,Orange,30,60,0.77,Farallones Marine Sanctuary Association
110,110,10/26/2011,Natural Bridges,36.9502,122.0576,y,Orange,27,60,3.83,Farallones Marine Sanctuary Association
111,111,10/26/2011,Natural Bridges,36.9502,122.0576,y,Purple,60,60,0.84,Aptos High School
112,112,10/26/2011,Natural Bridges,36.9502,122.0576,y,Purple,43,60,3.52,Aptos High School
113,113,10/26/2011,Pillar Point,37.503,122.4823,y,Orange,10,30,1.5,Aptos High School
114,114,10/26/2011,Pillar Point,37.503,122.4823,y,Purple,50,30,0.2,Aptos High School
115,115,11/9/2011,Pillar Point,37.503,122.4823,y,Orange,11,20,1.69,The Urban School
116,116,11/9/2011,Pillar Point,37.503,122.4823,y,Purple,46,20,5.13,The Urban School
117,117,12/22/2011,Davenport Landing,37.2364,86.92,n,Purple,15,20,0.69,Drew School
118,118,12/22/2011,Davenport Landing,37.2364,86.92,n,Orange,2,20,1.53,Drew School
119,119,1/19/2012,Pillar Point,37.503,122.4823,y,Orange,22,36,0.77,UCSC
